nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass,bench,mode
8,Kartell Victoria Ghost,kärnnamn + bild,1000,2000,456.0,811.0,1483.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.189,tunt,b1,B
9,Matgrupp 5 stolar,kärnnamn,1500,2500,294.0,600.0,2051.0,15,weighted,type_system:text,11.2,weighted,5 stolar,,"variant,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6,anonym,b1,A
9,Matgrupp 5 stolar,kärnnamn + bild,1500,2500,294.0,600.0,2051.0,15,weighted,type_system:text,11.2,weighted,5 stolar,,"variant,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.6,anonym,b1,B
10,Ekbord med stolar,kärnnamn,2000,5000,167.0,300.0,750.0,33,filtered,type_system:text+union2,33.0,none,,"6 stolar,4 stolar",,"['matbord', 'matgrupp']",none,,,asking_forced_unknown_identity,Baserat på 33 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,False,False,-0.85,anonym,b1,A
10,Ekbord med stolar,kärnnamn + bild,2000,5000,150.0,800.0,2200.0,18,filtered,type_system:text+union2,14.7,none,,,,"['matbord', 'matgrupp']",none,,,visual_cohort,"Baserat på 18 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 43x, så priset bygger på 18 annonser som LIKNAR din bild (likhet 0.79–0.85). Bara 18 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen). Endast matbord eller matgrupp.",low,True,False,-0.6,anonym,b1,B
1,Mio Town,kärnnamn,7000,12000,666.0,5539.0,9143.0,23,none,unresolved,23.0,none,,,,,none,,,asking,"Baserat på 23 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,False,-0.2087142857142857,övrigt,b1,C
1,Mio Town,kärnnamn + bild,7000,12000,666.0,5874.0,9143.0,23,weighted,type_system:image+union3,20.8,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 23 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 23 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.79 på modellen).",low,True,False,-0.1608571428571428,övrigt,b1,D
2,Mio Saturday,kärnnamn,3000,6000,3349.0,5565.0,7609.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 374 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b1,C
2,Mio Saturday,kärnnamn + bild,3000,6000,2983.0,5325.0,7383.0,15,weighted,type_system:image+union3,14.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b1,D
3,Mio Bridge,kärnnamn,3500,7000,892.0,3743.0,5251.0,20,none,unresolved,20.0,none,,,,,none,,,asking,"Baserat på 20 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 20 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.77 på modellen).",low,True,True,0.0,övrigt,b1,C
3,Mio Bridge,kärnnamn + bild,3500,7000,892.0,3743.0,5251.0,20,weighted,type_system:image+union3,19.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 20 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 20 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.77 på modellen).",low,True,True,0.0,övrigt,b1,D
4,IKEA karlstrand,kärnnamn,500,2000,,,,0,none,unresolved,0.0,none,,,,,none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt,b1,C
4,IKEA karlstrand,kärnnamn + bild,500,2000,,,,0,ignored,type_system:image+union3,0.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt,b1,D
5,Bellus soffa,kärnnamn,2000,6000,600.0,4000.0,10000.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,b1,C
5,Bellus soffa,kärnnamn + bild,2000,6000,600.0,4000.0,10000.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,b1,D
6,IKEA stocksund,kärnnamn,800,2000,510.0,948.0,1581.0,27,weighted,type_system:prior+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 27 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 27 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.82 på modellen).",low,True,True,0.0,övrigt,b1,C
6,IKEA stocksund,kärnnamn + bild,800,2000,510.0,948.0,1581.0,27,weighted,type_system:image+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 27 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 27 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.82 på modellen).",low,True,True,0.0,övrigt,b1,D
7,Stalands happy,kärnnamn,3000,6000,1157.0,3658.0,5931.0,2,none,unresolved,2.0,none,,,,,none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen).",low,True,True,0.0,tunt,b1,C
7,Stalands happy,kärnnamn + bild,3000,6000,1157.0,3658.0,5931.0,2,ignored,type_system:image+union3,2.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen). Möbeltypen bäddsoffa, hörnsoffa eller soffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,b1,D
8,Kartell Victoria Ghost,kärnnamn,1000,2000,400.0,552.0,1385.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.448,tunt,b1,C
8,Kartell Victoria Ghost,kärnnamn + bild,1000,2000,400.0,552.0,1385.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.448,tunt,b1,D
9,Matgrupp 5 stolar,kärnnamn,1500,2500,390.0,549.0,1575.0,3,ignored,type_system:text,0.8,weighted,5 stolar,,"cellfilter_typ,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Tunt underlag: motsvarande 1 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 3 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.33 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.634,anonym,b1,C
9,Matgrupp 5 stolar,kärnnamn + bild,1500,2500,390.0,549.0,1575.0,3,ignored,type_system:text,0.8,weighted,5 stolar,,"cellfilter_typ,storlek",['matgrupp'],none,,,asking_forced_unknown_identity,"Tunt underlag: motsvarande 1 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 3 annonser av just den modellen, så priset är sammanvägt med 2913 liknande annonser av samma märke och möbeltyp (vikt 0.33 på modellen). Möbeltypen matgrupp gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.634,anonym,b1,D
10,Ekbord med stolar,kärnnamn,2000,5000,50.0,250.0,15000.0,31,filtered,type_system:text+union2,7.8,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,asking_forced_unknown_identity,Tunt underlag: motsvarande 8 annonser efter viktning. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,True,False,-0.875,anonym,b1,C
10,Ekbord med stolar,kärnnamn + bild,2000,5000,150.0,800.0,2200.0,18,filtered,type_system:text+union2,14.7,none,,,cellfilter_typ,"['matbord', 'matgrupp']",none,,,visual_cohort,"Baserat på 18 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 47x, så priset bygger på 18 annonser som LIKNAR din bild (likhet 0.79–0.85). Bara 18 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.75 på modellen). Endast matbord eller matgrupp.",low,True,False,-0.6,anonym,b1,D
1,ikea norsborg,kärnnamn,500,1000,411.0,898.0,4279.0,15,weighted,type_system:prior+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,A
1,ikea norsborg,kärnnamn + bild,500,1000,411.0,898.0,4279.0,15,weighted,type_system:image+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,B
2,Bolia soffa med puff,kärnnamn,8000,11000,2177.0,6680.0,22876.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.165,tunt,b2,A
2,Bolia soffa med puff,kärnnamn + bild,8000,11000,2177.0,6680.0,22876.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.165,tunt,b2,B
3,Mio Harper soffa,kärnnamn,4000,6500,4900.0,6500.0,11000.0,36,filtered,type_system:text+union3,36.0,none,,"3-sits,4-sits",,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 36 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",low,True,True,0.0,övrigt,b2,A
3,Mio Harper soffa,kärnnamn + bild,4000,6500,4900.0,6500.0,11000.0,36,filtered,type_system:text+union3,36.0,none,,"3-sits,4-sits",,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 36 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",low,True,True,0.0,övrigt,b2,B
4,Jysk Egedal,kärnnamn,1000,2000,684.0,1061.0,1736.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,A
4,Jysk Egedal,kärnnamn + bild,1000,2000,684.0,1061.0,1736.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,B
5,Jysk Allese,kärnnamn,4000,6500,2274.0,3420.0,4966.0,12,none,unresolved,12.0,none,,,,,none,,,asking,"Baserat på 12 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 12 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.67 på modellen).",low,True,False,-0.145,tunt,b2,A
5,Jysk Allese,kärnnamn + bild,4000,6500,2274.0,3420.0,4966.0,12,ignored,type_system:image+union3,12.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 12 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 12 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.67 på modellen). Möbeltypen bäddsoffa, hörnsoffa eller soffa gav för tunt underlag och ingår inte i beräkningen.",low,True,False,-0.145,tunt,b2,B
6,Jysk fåtölj,kärnnamn,350,1000,500.0,700.0,1000.0,95,filtered,type_system:text,95.0,none,,,,['fatolj'],none,,,asking,Baserat på 95 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,True,0.0,övrigt,b2,A
6,Jysk fåtölj,kärnnamn + bild,350,1000,500.0,700.0,1000.0,95,filtered,type_system:text,95.0,none,,,,['fatolj'],none,,,asking,Baserat på 95 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,True,0.0,övrigt,b2,B
7,Swedese Lamino,kärnnamn,8500,12000,4000.0,8500.0,11500.0,36,none,unresolved,36.0,none,,,,,none,,,asking,"Baserat på 36 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.",low,True,True,0.0,övrigt,b2,A
7,Swedese Lamino,kärnnamn + bild,8500,12000,4999.0,9999.0,13000.0,36,weighted,type_system:image+union2,27.0,none,,,variant,"['fatolj', 'stol']",none,,,asking,Baserat på 36 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt,b2,B
8,DUX Bruno Mathsson Eva,kärnnamn,3500,6500,3061.0,5638.0,7744.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 57 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,A
8,DUX Bruno Mathsson Eva,kärnnamn + bild,3500,6500,2750.0,5500.0,6500.0,15,weighted,type_system:image+union2,13.5,none,,,variant,"['fatolj', 'stol']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt,b2,B
9,Matbord trä,kärnnamn,3000,7000,275.0,1000.0,4000.0,407,filtered,type_system:text+union2,407.0,none,,"4 stolar,6 stolar,8 stolar,150-200cm,100-150cm,250-300cm,200-250cm",,"['matbord', 'matgrupp']",none,,,asking_forced_unknown_identity,Baserat på 407 liknande annonser. Baserat på utropspriser i annonser (auktionsdata utesluten: varken märke eller modellnamn kunde fastställas). Endast annonser från senaste 8 månaderna. Endast matbord eller matgrupp.,low,True,False,-0.6666666666666666,anonym,b2,A
9,Matbord trä,kärnnamn + bild,3000,7000,330.0,880.0,2000.0,26,filtered,type_system:text+union2,18.1,none,,,,"['matbord', 'matgrupp']",none,,,visual_cohort,"Baserat på 26 liknande annonser. Baserat på visual_cohort. Endast annonser från senaste 8 månaderna. Orden identifierade ingen produkt och prisspridningen bland dem var 18x, så priset bygger på 26 annonser som LIKNAR din bild (likhet 0.66–0.79). Bara 26 annonser av just den modellen, så priset är sammanvägt med 6677 liknande annonser av samma märke och möbeltyp (vikt 0.81 på modellen). Endast matbord eller matgrupp.",low,False,False,-0.7066666666666667,anonym,b2,B
10,Mio matgrupp,kärnnamn,3000,5000,583.0,1475.0,2500.0,210,filtered,type_system:text,210.0,none,,"6 stolar,4 stolar,8 stolar,3 stolar",,['matgrupp'],none,,,asking,Baserat på 210 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,low,False,False,-0.5083333333333333,övrigt,b2,A
10,Mio matgrupp,kärnnamn + bild,3000,5000,583.0,1475.0,2500.0,210,filtered,type_system:text,210.0,none,,"6 stolar,4 stolar,8 stolar,3 stolar",,['matgrupp'],none,,,asking,Baserat på 210 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,low,False,False,-0.5083333333333333,övrigt,b2,B
11,Matgrupp byCrea,kärnnamn,5000,15000,500.0,1000.0,2000.0,1092,filtered,type_system:text,1092.0,none,,"6 stolar,10 stolar,5 stolar,4 stolar,8 stolar,2 stolar,3 stolar",,['matgrupp'],none,,,asking,Baserat på 1092 liknande annonser. Sökningen breddades: orden 'bycrea' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,low,False,False,-0.8,anonym,b2,A
11,Matgrupp byCrea,kärnnamn + bild,5000,15000,500.0,1000.0,2000.0,1092,filtered,type_system:text,1092.0,none,,"6 stolar,10 stolar,5 stolar,4 stolar,8 stolar,2 stolar,3 stolar",,['matgrupp'],none,,,asking,Baserat på 1092 liknande annonser. Sökningen breddades: orden 'bycrea' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast matgrupp.,low,False,False,-0.8,anonym,b2,B
12,DUX säng 303,kärnnamn,50000,80000,650.0,1000.0,2950.0,41,filtered,type_system:text,41.0,none,,,,['sang'],none,,,asking,Baserat på 41 liknande annonser. Sökningen breddades: orden '303' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast säng.,low,False,False,-0.98,övrigt,b2,A
12,DUX säng 303,kärnnamn + bild,50000,80000,650.0,1000.0,2950.0,41,filtered,type_system:text,41.0,none,,,,['sang'],none,,,asking,Baserat på 41 liknande annonser. Sökningen breddades: orden '303' gav för få träffar och utelämnades. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast säng.,low,False,False,-0.98,övrigt,b2,B
13,Ikea skotterud,kärnnamn,1000,2500,1500.0,1900.0,2500.0,40,filtered,type_system:prior,40.0,none,,,,['sang'],none,,,asking,Baserat på 40 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast säng.,high,True,True,0.0,övrigt,b2,A
13,Ikea skotterud,kärnnamn + bild,1000,2500,1500.0,1900.0,2500.0,40,filtered,type_system:image,40.0,none,,,,['sang'],none,,,asking,Baserat på 40 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast säng.,high,True,True,0.0,övrigt,b2,B
1,ikea norsborg,kärnnamn,500,1000,411.0,898.0,3848.0,15,weighted,type_system:prior+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,C
1,ikea norsborg,kärnnamn + bild,500,1000,411.0,898.0,3848.0,15,weighted,type_system:image+union3,13.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 1342 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,D
2,Bolia soffa med puff,kärnnamn,8000,11000,872.0,5352.0,12489.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.331,tunt,b2,C
2,Bolia soffa med puff,kärnnamn + bild,8000,11000,872.0,5352.0,12489.0,15,weighted,type_system:text+union3,15.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 77 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.331,tunt,b2,D
3,Mio Harper soffa,kärnnamn,4000,6500,2000.0,5223.0,11500.0,24,weighted,type_system:text+union3,24.0,none,,"3-sits,4-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 24 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.80 på modellen).",low,True,True,0.0,övrigt,b2,C
3,Mio Harper soffa,kärnnamn + bild,4000,6500,2000.0,5223.0,11500.0,24,weighted,type_system:text+union3,24.0,none,,"3-sits,4-sits",variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 24 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.80 på modellen).",low,True,True,0.0,övrigt,b2,D
4,Jysk Egedal,kärnnamn,1000,2000,684.0,1061.0,1898.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,C
4,Jysk Egedal,kärnnamn + bild,1000,2000,684.0,1061.0,1898.0,15,none,unresolved,15.0,none,,,,,none,,,asking,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 151 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,True,0.0,tunt,b2,D
